Citation	DOI	Nodes	Study_id	Study_link
Aggerbeck, Marie, Jon Fjeldså, Les Christidis, Pierre-Henri Fabre, Knud Andreas Jønsson. 2014. Resolving deep lineage divergences in core corvoid passerine birds supports a proto-Papuan island origin. Molecular Phylogenetics and Evolution 70: 272-285.	https://doi.org/10.1016/j.ympev.2013.09.027	0	pg_2702	https://tree.opentreeoflife.org/curator/study/view/pg_2702
Aliabadian, Mansour, Mohammad Kaboli, Roger Prodon, Vincent Nijman, Miguel Vences. 2007. Phylogeny of Palaearctic wheatears (genus Oenanthe)—Congruence between morphometric and molecular data. Molecular Phylogenetics and Evolution 42 (3): 665-675	http://dx.doi.org/10.1016/j.ympev.2006.08.018	6	ot_894	https://tree.opentreeoflife.org/curator/study/view/ot_894
ALICE CIBOIS, JEAN-CLAUDE THIBAULT, ERIC PASQUET, 2008, 'Systematics of the extinct reed warblers Acrocephalus of the Society Islands of eastern Polynesia', Ibis, vol. 150, no. 2, pp. 365-376	http://dx.doi.org/10.1111/j.1474-919x.2008.00800.x	6	ot_914	https://tree.opentreeoflife.org/curator/study/view/ot_914
Alström, P., Cibois, A., Irestedt, M., Zuccon, D., Gelang, M., Fjeldså, J., Andersen, M. J., Moyle, R. G., Pasquet, E., & Olsson, U. (2018). Comprehensive molecular phylogeny of the grassbirds and allies (Locustellidae) reveals extensive non-monophyly of traditional genera, and a proposal for a new classification. Molecular Phylogenetics and Evolution, 127, 367–375. https://doi.org/10.1016/j.ympev.2018.03.029	http://dx.doi.org/10.1016/j.ympev.2018.03.029	55	ot_2178	https://tree.opentreeoflife.org/curator/study/view/ot_2178
Alstrom, P., D. M. Hooper, Y. Liu, U. Olsson, D. Mohan, M. Gelang, H. Le Manh, J. Zhao, F. Lei, T. D. Price. 2014. Discovery of a relict lineage and monotypic family of passerine birds. Biology Letters 10 (3): 20131067-20131067.	http://dx.doi.org/10.1098/rsbl.2013.1067	60	ot_111	https://tree.opentreeoflife.org/curator/study/view/ot_111
Alström, P., Höhna, S., Gelang, M., Ericson, P. G., & Olsson, U. (2011). Non-monophyly and intricate morphological evolution within the avian family Cettiidae revealed by multilocus analysis of a taxonomically densely sampled dataset. BMC Evolutionary Biology, 11(1), 352. https://doi.org/10.1186/1471-2148-11-352	http://dx.doi.org/10.1186/1471-2148-11-352	20	ot_2182	https://tree.opentreeoflife.org/curator/study/view/ot_2182
Alström, P., Jønsson, K. A., Fjeldså, J., Ödeen, A., Ericson, P. G. P., & Irestedt, M. (2015). Dramatic niche shifts and morphological change in two insular bird species. Royal Society Open Science, 2(3), 140364. https://doi.org/10.1098/rsos.140364	http://dx.doi.org/10.1098/rsos.140364	20	ot_2191	https://tree.opentreeoflife.org/curator/study/view/ot_2191
Alström, P., Mohammadi, Z., Enbody, E., Irestedt, M., Engelbrecht, D., Crochet, P.-A., Guillaumet, A., Rancilhac, L., Tieleman, B. I., Olsson, U., Donald, P. F., & Stervander, M. (2023). Systematics of the avian family Alaudidae using multilocus and genomic data. Avian Research, 100095. https://doi.org/10.1016/j.avrs.2023.100095	http://dx.doi.org/10.1016/j.avrs.2023.100095	86	ot_2230	https://tree.opentreeoflife.org/curator/study/view/ot_2230
Alström, P., Rasmussen, P. C., Sangster, G., Dalvi, S., Round, P. D., Zhang, R., Yao, C., Irestedt, M., Le Manh, H., Lei, F., & Olsson, U. (2019). Multiple species within the Striated Prinia	http://dx.doi.org/10.1111/ibi.12759	4	ot_2192	https://tree.opentreeoflife.org/curator/study/view/ot_2192
Alström, P., Rasmussen, P. C., Xia, C., Gelang, M., Liu, Y., Chen, G., Zhao, M., Hao, Y., Zhao, C., Zhao, J., Yao, C., Eaton, J. A., Hutchinson, R., Lei, F., & Olsson, U. (2018). Taxonomy of the White-browed Shortwing (Brachypteryx montana) complex on mainland Asia and Taiwan: an integrative approach supports recognition of three instead of one species. Avian Research, 9(1). https://doi.org/10.1186/s40657-018-0125-6	http://dx.doi.org/10.1186/s40657-018-0125-6	4	ot_2189	https://tree.opentreeoflife.org/curator/study/view/ot_2189
